state_district,election,name,party,incumbent_challenger_open,receipts,from_individuals,from_committees,from_candidate,disbursements,cash_on_hand,debts
AL01,2016,BYRNE BRADLEY ROBERTS,Republican Party,Incumbent,1169472.77,436872.77,725450.0,0.0,974556.58,446515.03,0.0
AL01,2016,YOUNG JR LARRY DEAN,Republican Party,Challenger,178766.88,19766.88,0.0,159000.0,178474.16,0.0,0.0
AL02,2016,ROBY MARTHA,Republican Party,Incumbent,1237921.88,528371.88,709550.0,0.0,1333058.0,396590.12,0.0
AL02,2016,GERRITSON REBECCA (BECKY),Republican Party,Challenger,203494.67,179771.8,11500.0,10959.22,200735.68,2758.99,6014.33
AL02,2016,ROGERS ROBERT L,Republican Party,Challenger,25382.0,0.0,0.0,25482.0,32492.0,0.0,0.0
AL03,2016,ROGERS MICHAEL DENNIS,Republican Party,Incumbent,846462.37,321352.0,511000.0,0.0,852652.54,452648.33,0.0
AL03,2016,DICHIARA LARRY,Republican Party,Challenger,64791.68,17718.04,0.0,47073.64,67148.66,-2356.98,53062.78
AL03,2016,SMITH JESSE TREMAIN,Democratic Party,Challenger,7750.0,7750.0,0.0,3200.0,2443.0,3900.0,0.0
AL04,2016,ADERHOLT ROBERT BROWN,Republican Party,Incumbent,1176759.26,408959.65,766658.73,0.0,1198715.01,396982.12,0.0
AL04,2016,NORRIS PHILLIP,Republican Party,Challenger,3605.76,105.0,0.0,3500.0,3605.76,0.0,0.0
AL05,2016,BROOKS MO,Republican Party,Incumbent,397159.84,192697.0,202100.0,0.0,65589.6,1146006.52,0.0
AL05,2016,"BOYD WILLIE ""WILL"" DR. JR.",Democratic Party,Challenger,31490.94,17426.76,8500.0,2640.98,29719.32,1771.62,2893.2
AL06,2016,PALMER GARY,Republican Party,Incumbent,1092872.11,841810.52,237097.75,0.0,443088.41,839496.2,0.0
AL06,2016,PUTMAN DAVID,Democratic Party,Challenger,20220.26,5044.0,0.0,15026.0,21110.62,-20.93,861.4
AL07,2016,SEWELL TERRYCINA ANDREA,Democratic Party,Incumbent,1258166.42,299390.19,956600.0,0.0,758601.96,921028.18,0.0
AK01,2016,YOUNG DONALD E,Republican Party,Incumbent,659208.31,409077.04,248203.99,0.0,507337.18,640091.25,0.0
AK01,2016,LINDBECK STEVE,Democratic Party,Challenger,418771.14,392641.53,9074.61,17055.0,94112.22,324658.92,2000.0
AZ01,2016,BABEU PAUL RAYMOND,Republican Party,Open,628847.74,617329.35,11500.0,0.0,378203.28,250644.46,0.0
AZ01,2016,BEGAY CARLYLE WILMER,Republican Party,Open,92261.09,79261.09,13000.0,0.0,67192.47,25068.62,0.0
AZ01,2016,BENNETT KEN,Republican Party,Open,409968.1,328092.1,1000.0,80876.0,147883.51,262084.59,70000.0
AZ01,2016,GOWAN  DAVID MATTHEW SR,Republican Party,Open,364828.03,297828.03,67000.0,0.0,170885.65,193942.38,0.0
AZ01,2016,KIEHNE GARY,Republican Party,Open,1050110.73,251895.5,0.0,798184.26,809839.59,245459.47,482072.14
AZ01,2016,MALNES BRIAN EDWARD,Other,Open,30000.0,0.0,0.0,30000.0,5000.0,25000.0,0.0
AZ01,2016,MALONEY JAMES,Democratic Party,Open,94476.11,70471.11,0.0,24005.0,24030.06,70446.05,0.0
AZ01,2016,O'HALLERAN TOM,Democratic Party,Open,791147.4,615163.74,170500.0,5283.66,298879.09,492268.31,0.0
AZ01,2016,REDD SHAWN MR.,Republican Party,Open,23549.0,2725.0,0.0,20824.0,24170.0,17.0,20824.0
AZ01,2016,ROGERS WENDY,Republican Party,Open,365959.01,352869.13,0.0,0.0,142541.57,277383.53,0.0
AZ02,2016,MCSALLY MARTHA E. MS.,Republican Party,Incumbent,5068864.62,3825227.25,1001910.0,0.0,2972225.06,2565145.48,0.0
AZ02,2016,HEINZ MATTHEW GERALD DR.,Democratic Party,Challenger,819648.02,644755.34,144651.12,30241.56,399759.75,419888.27,0.0
AZ02,2016,STEELE VICTORIA L,Democratic Party,Challenger,196308.32,185071.72,7500.0,3736.6,139633.13,56675.19,2000.0
AZ03,2016,GRIJALVA RAUL M,Democratic Party,Incumbent,489482.76,270283.61,217468.0,0.0,375588.41,149982.37,4015.59
AZ03,2016,VILLARREAL JAMES,Democratic Party,Challenger,10633.02,4767.0,2700.0,0.0,10633.02,0.0,0.0
AZ04,2016,GOSAR PAUL ANTHONY,Republican Party,Incumbent,391914.38,202617.34,189225.0,0.0,183710.37,321016.1,0.0
AZ04,2016,STRAUSS RAYMOND JOHN,Republican Party,Challenger,94500.83,88700.0,5500.0,10.0,70092.87,24407.96,0.0
AZ04,2016,WEISSER MIKEL,Democratic Party,Challenger,15716.45,15466.45,250.0,0.0,13477.48,4958.0,19013.87
AZ05,2016,BIGGS ANDY,Republican Party,Open,353615.39,203115.0,50500.0,100000.0,114043.82,239571.57,100000.0
AZ05,2016,JONES CHRISTINE,Republican Party,Open,416844.68,15990.94,0.0,400853.74,249011.88,167832.8,401341.24
AZ05,2016,MARTYN BRYAN,Republican Party,Open,4965.0,4965.0,0.0,0.0,4965.0,0.0,0.0
AZ05,2016,OLSON JUSTIN,Republican Party,Open,103820.81,29215.12,4500.0,70025.0,43696.74,60124.07,70000.0
AZ05,2016,STAPLEY DONALD T,Republican Party,Open,300730.19,198730.0,2000.0,100000.0,115914.91,184815.28,100000.0
AZ06,2016,SCHWEIKERT DAVID,Republican Party,Incumbent,588567.49,147459.35,205950.0,0.0,557386.9,68656.09,162918.62
AZ06,2016,WILLIAMSON WALTER JOHN,Democratic Party,Challenger,5044.94,1244.94,0.0,3800.0,4551.68,821.82,11389.41
AZ07,2016,GALLEGO RUBEN,Democratic Party,Incumbent,831330.04,467807.1,363500.0,0.0,469554.87,385937.8,2500.0
AZ07,2016,NUNEZ EVANGELINE MARTINEZ,Republican Party,Challenger,10200.0,7500.0,0.0,2700.0,6603.37,3596.63,0.0
AZ08,2016,FRANKS TRENT,Republican Party,Incumbent,257918.08,122217.0,135500.0,0.0,241998.74,21968.78,101100.0
AZ08,2016,ARMSTRONG-STONER DEREK JAMES,Democratic Party,Challenger,16350.98,2000.98,0.0,11850.0,16350.98,0.0,0.0
AZ09,2016,SINEMA KYRSTEN,Democratic Party,Incumbent,3173236.37,1676179.1,1385211.56,0.0,874843.16,2601507.97,0.0
AZ09,2016,AGRA JOHN,Republican Party,Challenger,120041.0,109471.0,0.0,10000.0,14882.22,105158.78,10000.0
AZ09,2016,GILES DAVID VICTOR,Republican Party,Challenger,186776.7,7656.21,0.0,179120.49,182002.97,4773.73,162563.98
AR01,2016,CRAWFORD ERIC ALAN RICK,Republican Party,Incumbent,564776.96,247003.63,317000.0,0.0,591007.2,371800.29,0.0
AR02,2016,HILL JAMES FRENCH,Republican Party,Incumbent,1730544.82,912774.94,727332.69,0.0,860517.56,919279.09,0.0
AR02,2016,CURRY DIANNE,Democratic Party,Challenger,25512.2,13412.26,0.0,10000.0,15604.4,281.86,0.0
AR02,2016,OLREE BROCK,Republican Party,Challenger,17995.97,448.1,0.0,17547.28,17780.08,215.89,15000.0
AR03,2016,WOMACK STEVE,Republican Party,Incumbent,683118.13,231895.07,451223.06,0.0,334369.07,1150983.72,0.0
AR04,2016,WESTERMAN BRUCE MR.,Republican Party,Incumbent,547462.26,264588.99,282860.0,0.0,324166.08,315497.59,0.0
CA01,2016,LAMALFA DOUG,Republican Party,Incumbent,584739.26,278109.99,304875.99,0.0,605739.79,77067.57,2597.47
CA01,2016,MONTES JOSEPH,Republican Party,Challenger,183582.0,124578.0,0.0,59000.0,176096.7,7485.3,59000.0
CA01,2016,REED JAMES E,Democratic Party,Challenger,58307.79,28356.48,1000.0,26000.0,57228.78,1079.01,23500.0
CA01,2016,WRIGHT DOUGLAS A.,Republican Party,Challenger,27709.03,21843.0,2700.0,0.0,27709.03,0.0,0.0
CA02,2016,HUFFMAN JARED,Democratic Party,Incumbent,735863.54,409761.4,321961.48,0.0,574437.14,545978.69,8250.0
CA02,2016,MENSING DALE KENNETH,Republican Party,Challenger,3423.0,2734.0,0.0,18.0,3316.0,142.0,0.0
CA02,2016,SCHRODE ERIN AZARIA,Democratic Party,Challenger,58283.5,58076.5,0.0,0.0,59079.55,-26515.78,0.0
CA03,2016,GARAMENDI JOHN,Democratic Party,Incumbent,783719.35,330431.11,451865.45,0.0,452675.03,508503.46,0.0
CA03,2016,CLEEK N EUGENE MD,Republican Party,Challenger,350535.01,134623.85,0.0,210911.16,224314.53,126220.48,212199.15
